timestamp,diameter_mm,task_phase,participant,trial
2.6,3.5919,task,demo_p01,1
2.6167,3.6034,task,demo_p01,1
2.6333,3.5403,task,demo_p01,1
2.65,3.6131,task,demo_p01,1
2.6667,3.6716,task,demo_p01,1
2.6833,3.6271,task,demo_p01,1
2.7,3.6565,task,demo_p01,1
2.7167,3.6222,task,demo_p01,1
2.7333,3.6189,task,demo_p01,1
2.75,3.637,task,demo_p01,1
2.7667,3.6055,task,demo_p01,1
2.7833,3.6054,task,demo_p01,1
2.8,3.6767,task,demo_p01,1
2.8167,3.6842,task,demo_p01,1
2.8333,3.6176,task,demo_p01,1
2.85,3.6806,task,demo_p01,1
2.8667,3.6532,task,demo_p01,1
2.8833,3.6702,task,demo_p01,1
2.9,3.678,task,demo_p01,1
2.9167,3.6981,task,demo_p01,1
2.9333,3.6748,task,demo_p01,1
2.95,3.7186,task,demo_p01,1
2.9667,3.6895,task,demo_p01,1
2.9833,3.7028,task,demo_p01,1
3.0,3.6629,task,demo_p01,1
3.0167,3.7564,task,demo_p01,1
3.0333,3.7093,task,demo_p01,1
3.05,3.7202,task,demo_p01,1
3.0667,3.654,task,demo_p01,1
3.0833,3.6809,task,demo_p01,1
3.1,3.746,task,demo_p01,1
3.1167,3.7206,task,demo_p01,1
3.1333,3.6577,task,demo_p01,1
3.15,3.7492,task,demo_p01,1
3.1667,3.7046,task,demo_p01,1
3.1833,3.766,task,demo_p01,1
3.2,3.7236,task,demo_p01,1
3.2167,3.7349,task,demo_p01,1
3.2333,3.7665,task,demo_p01,1
3.25,3.7064,task,demo_p01,1
3.2667,3.7056,task,demo_p01,1
3.2833,3.7315,task,demo_p01,1
3.3,3.764,task,demo_p01,1
3.3167,3.701,task,demo_p01,1
3.3333,3.6924,task,demo_p01,1
3.35,3.7686,task,demo_p01,1
3.3667,3.7271,task,demo_p01,1
3.3833,3.7345,task,demo_p01,1
3.4,3.6916,task,demo_p01,1
3.4167,3.7277,task,demo_p01,1
3.4333,3.7486,task,demo_p01,1
3.45,3.7772,task,demo_p01,1
3.4667,3.7266,task,demo_p01,1
3.4833,3.7996,task,demo_p01,1
3.5,3.7295,task,demo_p01,1
3.5167,3.7294,task,demo_p01,1
3.5333,3.7958,task,demo_p01,1
3.55,3.7557,task,demo_p01,1
3.5667,3.7322,task,demo_p01,1
3.5833,3.7435,task,demo_p01,1
3.6,3.7879,task,demo_p01,1
3.6167,3.7903,task,demo_p01,1
3.6333,3.7207,task,demo_p01,1
3.65,3.7426,task,demo_p01,1
3.6667,3.7452,task,demo_p01,1
3.6833,3.7113,task,demo_p01,1
3.7,3.7376,task,demo_p01,1
3.7167,3.7376,task,demo_p01,1
3.7333,3.7696,task,demo_p01,1
3.75,3.7695,task,demo_p01,1
3.7667,3.7212,task,demo_p01,1
3.7833,3.7223,task,demo_p01,1
3.8,3.7462,task,demo_p01,1
3.8167,3.7061,task,demo_p01,1
3.8333,3.7386,task,demo_p01,1
3.85,3.7154,task,demo_p01,1
3.8667,3.686,task,demo_p01,1
3.8833,3.6833,task,demo_p01,1
3.9,3.7523,task,demo_p01,1
3.9167,3.7009,task,demo_p01,1
3.9333,3.7515,task,demo_p01,1
3.95,3.6834,task,demo_p01,1
3.9667,3.704,task,demo_p01,1
3.9833,3.7634,task,demo_p01,1
4.0,3.6562,task,demo_p01,1
4.0167,3.6272,task,demo_p01,1
4.0333,3.7189,task,demo_p01,1
4.05,3.6515,task,demo_p01,1
4.0667,3.6717,task,demo_p01,1
4.0833,3.6507,task,demo_p01,1
4.1,3.6722,task,demo_p01,1
4.1167,3.6315,task,demo_p01,1
4.1333,3.6504,task,demo_p01,1
4.15,3.6651,task,demo_p01,1
4.1667,3.6171,task,demo_p01,1
4.1833,3.622,task,demo_p01,1
4.2,3.6283,task,demo_p01,1
4.2167,3.5915,task,demo_p01,1
4.2333,3.6173,task,demo_p01,1
4.25,3.6291,task,demo_p01,1
4.2667,3.6091,task,demo_p01,1
4.2833,3.6086,task,demo_p01,1
4.3,3.6117,task,demo_p01,1
4.3167,3.5882,task,demo_p01,1
4.3333,3.6242,task,demo_p01,1
4.35,3.6421,task,demo_p01,1
4.3667,3.5807,task,demo_p01,1
4.3833,3.6048,task,demo_p01,1
4.4,3.5787,task,demo_p01,1
4.4167,3.5925,task,demo_p01,1
4.4333,3.6242,task,demo_p01,1
4.45,3.5882,task,demo_p01,1
4.4667,3.5155,task,demo_p01,1
4.4833,3.5781,task,demo_p01,1
4.5,3.5972,task,demo_p01,1
4.5167,3.5494,task,demo_p01,1
4.5333,3.5818,task,demo_p01,1
4.55,3.5272,task,demo_p01,1
4.5667,3.4993,task,demo_p01,1
4.5833,3.5442,task,demo_p01,1
4.6,3.4833,task,demo_p01,1
4.6167,3.5249,task,demo_p01,1
4.6333,3.5669,task,demo_p01,1
4.65,3.4673,task,demo_p01,1
4.6667,3.4825,task,demo_p01,1
4.6833,3.4862,task,demo_p01,1
4.7,3.5117,task,demo_p01,1
4.7167,3.4991,task,demo_p01,1
4.7333,3.5486,task,demo_p01,1
4.75,3.5319,task,demo_p01,1
4.7667,3.5148,task,demo_p01,1
4.7833,3.501,task,demo_p01,1
4.8,3.5053,task,demo_p01,1
4.8167,3.4645,task,demo_p01,1
4.8333,3.513,task,demo_p01,1
4.85,3.4509,task,demo_p01,1
4.8667,3.5064,task,demo_p01,1
4.8833,3.5141,task,demo_p01,1
4.9,3.482,task,demo_p01,1
4.9167,3.4677,task,demo_p01,1
4.9333,3.4823,task,demo_p01,1
4.95,3.3819,task,demo_p01,1
4.9667,3.4743,task,demo_p01,1
4.9833,3.4593,task,demo_p01,1
5.0,3.4588,recovery,demo_p01,1
5.0167,3.4792,recovery,demo_p01,1
5.0333,3.4535,recovery,demo_p01,1
5.05,3.4194,recovery,demo_p01,1
5.0667,3.4472,recovery,demo_p01,1
5.0833,3.4514,recovery,demo_p01,1
5.1,3.4508,recovery,demo_p01,1
5.1167,3.4503,recovery,demo_p01,1
5.1333,3.4747,recovery,demo_p01,1
5.15,3.4091,recovery,demo_p01,1
5.1667,3.4452,recovery,demo_p01,1
5.1833,3.4769,recovery,demo_p01,1
5.2,3.3846,recovery,demo_p01,1
5.2167,3.4404,recovery,demo_p01,1
5.2333,3.4159,recovery,demo_p01,1
5.25,3.4209,recovery,demo_p01,1
5.2667,3.4034,recovery,demo_p01,1
5.2833,3.4241,recovery,demo_p01,1
5.3,3.4831,recovery,demo_p01,1
5.3167,3.3886,recovery,demo_p01,1
5.3333,3.3902,recovery,demo_p01,1
5.35,3.3851,recovery,demo_p01,1
5.3667,3.4748,recovery,demo_p01,1
5.3833,3.408,recovery,demo_p01,1
5.4,3.4201,recovery,demo_p01,1
5.4167,3.4078,recovery,demo_p01,1
5.4333,3.3905,recovery,demo_p01,1
5.45,3.4109,recovery,demo_p01,1
5.4667,3.4908,recovery,demo_p01,1
5.4833,3.458,recovery,demo_p01,1
5.5,3.3898,recovery,demo_p01,1
5.5167,3.434,recovery,demo_p01,1
5.5333,3.3889,recovery,demo_p01,1
5.55,3.3598,recovery,demo_p01,1
5.5667,3.443,recovery,demo_p01,1
5.5833,3.4466,recovery,demo_p01,1
5.6,3.4425,recovery,demo_p01,1
5.6167,3.3965,recovery,demo_p01,1
5.6333,3.405,recovery,demo_p01,1
5.65,3.4319,recovery,demo_p01,1
5.6667,3.4207,recovery,demo_p01,1
5.6833,3.3966,recovery,demo_p01,1
5.7,3.3594,recovery,demo_p01,1
5.7167,3.4109,recovery,demo_p01,1
5.7333,3.4395,recovery,demo_p01,1
5.75,3.3708,recovery,demo_p01,1
5.7667,3.4255,recovery,demo_p01,1
5.7833,3.4159,recovery,demo_p01,1
5.8,3.4281,recovery,demo_p01,1
5.8167,3.4314,recovery,demo_p01,1
5.8333,3.3841,recovery,demo_p01,1
5.85,3.3562,recovery,demo_p01,1
5.8667,3.3884,recovery,demo_p01,1
5.8833,3.4308,recovery,demo_p01,1
5.9,3.3876,recovery,demo_p01,1
5.9167,3.3828,recovery,demo_p01,1
5.9333,3.3488,recovery,demo_p01,1
5.95,3.4558,recovery,demo_p01,1
5.9667,3.4278,recovery,demo_p01,1
5.9833,3.4259,recovery,demo_p01,1
6.0,3.4317,recovery,demo_p01,1
6.0167,3.4198,recovery,demo_p01,1
6.0333,3.395,recovery,demo_p01,1
6.05,3.3973,recovery,demo_p01,1
6.0667,3.3892,recovery,demo_p01,1
6.0833,3.4809,recovery,demo_p01,1
6.1,3.4185,recovery,demo_p01,1
6.1167,3.3877,recovery,demo_p01,1
6.1333,3.4155,recovery,demo_p01,1
6.15,3.3711,recovery,demo_p01,1
6.1667,3.4465,recovery,demo_p01,1
6.1833,3.3814,recovery,demo_p01,1
6.2,3.4162,recovery,demo_p01,1
6.2167,3.4331,recovery,demo_p01,1
6.2333,3.4126,recovery,demo_p01,1
6.25,3.4038,recovery,demo_p01,1
6.2667,3.4012,recovery,demo_p01,1
6.2833,3.3991,recovery,demo_p01,1
6.3,3.3835,recovery,demo_p01,1
6.3167,3.3872,recovery,demo_p01,1
6.3333,3.445,recovery,demo_p01,1
6.35,3.3974,recovery,demo_p01,1
6.3667,3.377,recovery,demo_p01,1
6.3833,3.385,recovery,demo_p01,1
6.4,3.4335,recovery,demo_p01,1
6.4167,3.4207,recovery,demo_p01,1
6.4333,3.4172,recovery,demo_p01,1
6.45,3.3927,recovery,demo_p01,1
6.4667,3.4176,recovery,demo_p01,1
6.4833,3.381,recovery,demo_p01,1
6.5,3.3925,recovery,demo_p01,1
6.5167,3.4294,recovery,demo_p01,1
6.5333,3.4265,recovery,demo_p01,1
6.55,3.3708,recovery,demo_p01,1
6.5667,3.3746,recovery,demo_p01,1
6.5833,3.4035,recovery,demo_p01,1
6.6,3.452,recovery,demo_p01,1
6.6167,3.3427,recovery,demo_p01,1
6.6333,3.4085,recovery,demo_p01,1
6.65,3.3589,recovery,demo_p01,1
